,model,layer,accuracy
703,alexnet,ReLU-6,1.0
704,alexnet,ReLU-6,1.0
705,alexnet,ReLU-6,1.0
706,alexnet,ReLU-6,1.0
707,alexnet,ReLU-6,1.0
708,alexnet,ReLU-6,1.0
709,alexnet,ReLU-6,1.0
710,alexnet,ReLU-6,1.0
711,alexnet,ReLU-6,1.0
712,alexnet,ReLU-6,1.0
713,alexnet,ReLU-6,1.0
714,alexnet,ReLU-6,1.0
715,alexnet,ReLU-6,1.0
716,alexnet,ReLU-6,1.0
717,alexnet,ReLU-6,1.0
718,alexnet,ReLU-6,1.0
719,alexnet,ReLU-6,1.0
720,alexnet,ReLU-7,1.0
721,alexnet,ReLU-7,1.0
722,alexnet,ReLU-7,1.0
723,alexnet,ReLU-7,0.5
724,alexnet,ReLU-7,1.0
725,alexnet,ReLU-7,0.75
726,alexnet,ReLU-7,0.75
727,alexnet,ReLU-7,0.5
728,alexnet,ReLU-7,0.75
729,alexnet,ReLU-7,1.0
730,alexnet,ReLU-7,1.0
731,alexnet,ReLU-7,0.75
732,alexnet,ReLU-7,1.0
733,alexnet,ReLU-7,0.5
734,alexnet,ReLU-7,1.0
735,alexnet,ReLU-7,0.75
736,alexnet,ReLU-7,1.0
737,alexnet,ReLU-7,0.75
738,alexnet,ReLU-7,0.75
739,alexnet,ReLU-7,1.0
740,alexnet,ReLU-7,1.0
741,alexnet,ReLU-7,1.0
742,alexnet,ReLU-7,1.0
743,alexnet,ReLU-7,1.0
744,alexnet,ReLU-7,1.0
745,alexnet,ReLU-7,1.0
746,alexnet,ReLU-7,1.0
747,alexnet,ReLU-7,1.0
748,alexnet,ReLU-7,1.0
749,alexnet,ReLU-7,1.0
750,alexnet,ReLU-7,1.0
751,alexnet,ReLU-7,1.0
752,alexnet,ReLU-7,1.0
753,alexnet,ReLU-7,1.0
754,alexnet,ReLU-7,1.0
755,alexnet,ReLU-7,1.0
756,alexnet,ReLU-7,1.0
757,alexnet,ReLU-7,1.0
758,alexnet,ReLU-7,1.0
759,alexnet,ReLU-7,1.0
760,alexnet,ReLU-7,1.0
761,alexnet,ReLU-7,1.0
762,alexnet,ReLU-7,1.0
763,alexnet,ReLU-7,1.0
764,alexnet,ReLU-7,1.0
765,alexnet,ReLU-7,1.0
766,alexnet,ReLU-7,1.0
767,alexnet,ReLU-7,1.0
768,alexnet,ReLU-7,1.0
769,alexnet,ReLU-7,1.0
770,alexnet,ReLU-7,1.0
771,alexnet,ReLU-7,1.0
